Id,SalePrice
1461,123452.14380459397
1462,172270.14987252618
1463,178981.07362454777
1464,197906.39882983916
1465,201624.79845618433
1466,170937.75247145587
1467,180642.24198991206
1468,162150.15252533037
1469,187740.4387566442
1470,119784.60333717958
1471,183560.9642498423
1472,99371.3036350174
1473,95487.41894539674
1474,145895.6124340848
1475,114788.09241098535
1476,361909.08238907304
1477,257837.49654406315
1478,289605.4992011943
1479,283570.5669312309
1480,527182.3529240995
1481,328416.16594354814
1482,204869.4534519411
1483,175020.0234807242
1484,164784.69618675744
1485,182422.87900146353
1486,190873.3191221629
1487,336648.41141783673
1488,229474.82823822965
1489,195621.91605356848
1490,241893.80073231383
1491,195196.699114371
1492,93619.56531008876
1493,159276.2334574394
1494,294402.00120829605
1495,285913.9446404542
1496,232507.22031637278
1497,182252.3825007319
1498,193231.0596708151
1499,160806.5683445959
1500,155060.74627053365
1501,181526.72797711712
1502,153039.34442962598
1503,287428.20165795204
1504,243257.39402633513
1505,228815.8372142019
1506,185828.5326318274
1507,262007.4433867656
1508,198631.88692874694
1509,156354.47967137396
1510,144248.40285543437
1511,173438.1349595554
1512,176339.8530582363
1513,139963.70614889823
1514,167780.44843675813
1515,196387.11874827754
1516,149036.34450284397
1517,162207.49783626758
1518,131070.00869300829
1519,214696.80213961174
1520,128288.9227678494
1521,133002.02663275984
1522,177699.86833141558
1523,113090.88542749596
1524,121890.84355881967
1525,122143.10398935781
1526,111396.57906243199
1527,109500.45946797653
1528,137458.72323498683
1529,157618.64196125398
1530,188363.96444314456
1531,111156.14916732584
1532,95247.85444562025
1533,148928.06747206894
1534,131570.78899457413
1535,140317.55755352537
1536,105653.40444762187
1537,62469.55900519704
1538,139533.7976750571
1539,196957.0671274134
1540,81836.45290711435
1541,131481.4835370737
1542,151063.60432657326
1543,184311.54783960682
1544,90490.27680219802
1545,116307.70320214907
1546,140210.0296556057
1547,136630.16717163645
1548,139128.0202058761
1549,126017.34557282584
1550,133166.57580980743
1551,108478.38452085722
1552,135657.1864115331
1553,133912.96228441704
1554,117099.31867558972
1555,163618.6425063478
1556,93134.18507653892
1557,109805.35841825997
1558,105696.00065107144
1559,54399.21677301651
1560,134237.29559914413
1561,119504.47558748207
1562,136136.44789913236
1563,121332.96105575062
1564,164184.40081569398
1565,142948.36192094404
1566,230175.2852498766
1567,81547.03151069216
1568,246972.37458445277
1569,132555.19655154826
1570,133247.119612307
1571,118000.69738144713
1572,141683.78271903328
1573,214935.20967035773
1574,117188.67310450035
1575,216531.21571323957
1576,236896.1673700152
1577,177959.28645506277
1578,139862.1425256193
1579,141678.68650328682
1580,192043.64956547695
1581,153773.00442169828
1582,126910.66540383137
1583,312333.0650545739
1584,224809.75805483037
1585,141719.4634258655
1586,79318.98234770918
1587,113373.84871645931
1588,147606.64619708064
1589,100136.48806288638
1590,133065.41496131066
1591,92986.47863237878
1592,115256.84405574693
1593,127119.08705189238
1594,125073.54883228493
1595,104377.72199974892
1596,228182.475246206
1597,198222.6468187227
1598,217785.75428457442
1599,159981.98635401635
1600,153737.51631160034
1601,74672.75743379562
1602,122427.50570611481
1603,60921.81884767839
1604,263090.84210146044
1605,236590.0524027488
1606,166086.40393834384
1607,184501.41554238016
1608,209965.68737601076
1609,184008.08433067772
1610,151973.15537542678
1611,130822.94532997704
1612,171818.95862566357
1613,165810.58333710188
1614,110656.42173428624
1615,86963.47135108164
1616,77776.78307870566
1617,91550.69524669064
1618,141947.71008319303
1619,141379.4535679289
1620,165200.722455686
1621,135406.42974886342
1622,142785.19274225918
1623,253854.1310858947
1624,210639.48664581546
1625,120111.15112427276
1626,168500.39326037304
1627,195510.31466010062
1628,264136.56897026004
1629,173290.77562507577
1630,388875.83449292864
1631,234541.76810933815
1632,248100.85243000858
1633,170366.802014385
1634,185131.4291334883
1635,174323.53902873013
1636,154561.02017543768
1637,210093.3595760182
1638,184101.35789984465
1639,182468.25829347904
1640,245174.98473377866
1641,177211.44155912104
1642,242314.89261456925
1643,230234.1424561698
1644,230558.8814461091
1645,233286.74086327507
1646,158682.02735295572
1647,154122.52003818584
1648,126946.56401173939
1649,140033.56333973506
1650,113665.03778215915
1651,120719.7508524928
1652,99441.53749718422
1653,102350.01644147858
1654,146873.52382971166
1655,132627.54624367092
1656,140498.65828447882
1657,151204.0344109422
1658,149411.25494124473
1659,126319.42455251138
1660,151614.4416551169
1661,473058.538275167
1662,410188.15331594506
1663,380425.22644631576
1664,675627.8134118441
1665,300793.80982901773
1666,307033.4589451188
1667,379279.9368526724
1668,333652.24729923654
1669,299066.92531644437
1670,343020.14585214254
1671,282152.6696812827
1672,461692.3587104643
1673,299431.50776173733
1674,248891.00014002627
1675,201620.09981855613
1676,195884.9279570712
1677,218880.0572286787
1678,498591.22951389075
1679,390032.0289274278
1680,316183.40458998963
1681,234987.40674768438
1682,313618.8719198392
1683,194803.2175849261
1684,176994.4153876735
1685,173405.44011575988
1686,167962.6274221569
1687,167476.6134335981
1688,186848.81303323386
1689,190488.71830112935
1690,195409.11143066955
1691,186030.49540921862
1692,246562.6336114848
1693,168564.2953973523
1694,181017.9391398935
1695,168085.4107338332
1696,283885.0817505242
1697,171565.29911294478
1698,355042.0532745177
1699,322328.3974249665
1700,259427.19624446172
1701,266064.3277456914
1702,243699.56855162437
1703,240723.2984444294
1704,282150.52518825914
1705,228418.27633902818
1706,182414.04301961244
1707,208276.14734353733
1708,202967.74456882404
1709,263703.23648220097
1710,217691.2157019462
1711,266258.30495088315
1712,257828.82354598818
1713,275643.2976160122
1714,217912.49454773797
1715,206658.7922598046
1716,184813.09958296092
1717,173106.80737993386
1718,139260.64339327955
1719,201639.16666779143
1720,235695.50636697627
1721,151565.69890281808
1722,117734.57748040685
1723,146906.4617293876
1724,206930.48138247253
1725,238864.1465351563
1726,184949.96702712678
1727,154389.55054421208
1728,163449.1713163099
1729,166101.24896756417
1730,152540.8623390111
1731,119928.02680018959
1732,132343.26798354412
1733,113311.78589086513
1734,126861.57517321341
1735,119379.51996081755
1736,113723.2878807597
1737,317603.3790479396
1738,246784.8016937486
1739,262363.2178550884
1740,220733.8212391325
1741,194165.81245874576
1742,173733.6682484965
1743,180045.6351731912
1744,320044.8550986116
1745,220360.0851054052
1746,187937.85342437142
1747,220832.8583376774
1748,229266.8043871035
1749,141340.21743621532
1750,123285.58722967093
1751,248979.14501554787
1752,116628.57954449639
1753,147398.64242736282
1754,194642.7410209042
1755,163163.1967643005
1756,133258.534537154
1757,122382.5880741457
1758,142023.3300980874
1759,155106.5891561996
1760,167022.7951524016
1761,145931.7383899475
